,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,710831.0,671083.0,694808.0,433947.0,
Ordinary Shares Number,501729505.0,497299441.0,456465296.0,245001857.0,
Share Issued,502440336.0,497970524.0,457160104.0,245435804.0,
Net Debt,216525000.0,1504438000.0,683445000.0,1379437000.0,
Total Debt,1282182000.0,2004634000.0,1493412000.0,1696656000.0,
Tangible Book Value,16675228000.0,15265243000.0,14183904000.0,5591979000.0,
Invested Capital,21975856000.0,21266001000.0,17583415000.0,7564994000.0,
Working Capital,1293316000.0,1143126000.0,1233637000.0,540575000.0,
Net Tangible Assets,16675228000.0,15265243000.0,14183904000.0,5591979000.0,
Capital Lease Obligations,139226000.0,161548000.0,151342000.0,131433000.0,
Common Stock Equity,20832900000.0,19422915000.0,16241345000.0,5999771000.0,
Total Capitalization,21885856000.0,21166001000.0,17483415000.0,7339994000.0,
Total Equity Gross Minority Interest,20832900000.0,19422915000.0,16241345000.0,5999771000.0,
Stockholders Equity,20832900000.0,19422915000.0,16241345000.0,5999771000.0,
Other Equity Interest,172145000.0,201755000.0,197430000.0,191112000.0,
Gains Losses Not Affecting Retained Earnings,-41147000.0,-98955000.0,-29006000.0,54276000.0,
Other Equity Adjustments,-41147000.0,-98955000.0,-29006000.0,54276000.0,
Unrealized Gain Loss,,,,65065000.0,97216000.0
Retained Earnings,2026242000.0,963172000.0,-201580000.0,-146383000.0,
Additional Paid In Capital,0.0,22074000.0,23280000.0,37254000.0,
Capital Stock,18675660000.0,18334869000.0,16251221000.0,5863512000.0,
Common Stock,18675660000.0,18334869000.0,16251221000.0,5863512000.0,
Total Liabilities Net Minority Interest,9154118000.0,9262034000.0,7253463000.0,4216319000.0,
Total Non Current Liabilities Net Minority Interest,7642153000.0,8214008000.0,6307041000.0,3454506000.0,
Other Non Current Liabilities,202213000.0,241805000.0,5636000.0,19051000.0,
Employee Benefits,64298000.0,67408000.0,70301000.0,51210000.0,
Non Current Pension And Other Postretirement Benefit Plans,51793000.0,56255000.0,53024000.0,51210000.0,
