,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2126647000.0,936483000.0,558399000.0,398310000.0,
Repurchase Of Capital Stock,-169357000.0,-47003000.0,-109955000.0,-34606000.0,
Repayment Of Debt,-1347319000.0,-1447589000.0,-358701000.0,-620020000.0,
Issuance Of Debt,600000000.0,1898958000.0,100000000.0,595000000.0,
Issuance Of Capital Stock,37012000.0,29941000.0,20265000.0,18388000.0,
Capital Expenditure,-1834245000.0,-1665079000.0,-1538237000.0,-946998000.0,
Interest Paid Supplemental Data,103692000.0,104845000.0,67510000.0,85109000.0,
Income Tax Paid Supplemental Data,474028000.0,290525000.0,316743000.0,246084000.0,
End Cash Position,926431000.0,338648000.0,658625000.0,185786000.0,
Beginning Cash Position,338648000.0,658625000.0,185786000.0,402527000.0,
Effect Of Exchange Rate Changes,-9664000.0,3202000.0,1514000.0,-804000.0,
Changes In Cash,597447000.0,-323179000.0,471325000.0,-215937000.0,
Financing Cash Flow,-1356331000.0,-163958000.0,-914853000.0,-297242000.0,
Cash Flow From Continuing Financing Activities,-1356331000.0,-163958000.0,-914853000.0,-297242000.0,
Net Other Financing Charges,-3544000.0,,,-2553000.0,-1597000.0
Proceeds From Stock Option Exercised,198532000.0,40377000.0,41845000.0,21707000.0,
Cash Dividends Paid,-671655000.0,-638642000.0,-608307000.0,-275158000.0,
Common Stock Dividend Paid,-671655000.0,-638642000.0,-608307000.0,-275158000.0,
Net Common Stock Issuance,-132345000.0,-17062000.0,-89690000.0,-16218000.0,
Common Stock Payments,-169357000.0,-47003000.0,-109955000.0,-34606000.0,
Common Stock Issuance,37012000.0,29941000.0,20265000.0,18388000.0,
Net Issuance Payments Of Debt,-747319000.0,451369000.0,-258701000.0,-25020000.0,
Net Short Term Debt Issuance,,,,0.0,0.0
Short Term Debt Payments,,,,-595000000.0,-1075000000.0
Short Term Debt Issuance,,,,595000000.0,1075000000.0
Net Long Term Debt Issuance,-747319000.0,451369000.0,-258701000.0,-25020000.0,
Long Term Debt Payments,-1347319000.0,-1447589000.0,-358701000.0,-620020000.0,
Long Term Debt Issuance,600000000.0,1898958000.0,100000000.0,595000000.0,
Investing Cash Flow,-2007114000.0,-2760783000.0,-710458000.0,-1264003000.0,
Cash Flow From Continuing Investing Activities,-2007114000.0,-2760783000.0,-710458000.0,-1264003000.0,
Net Other Investing Changes,10152000.0,9651000.0,36411000.0,-81923000.0,
Net Investment Purchase And Sale,-183021000.0,-104738000.0,-47364000.0,-51880000.0,
Sale Of Investment,,,0.0,5361000.0,10828000.0
Purchase Of Investment,-183021000.0,-104738000.0,-47364000.0,-57241000.0,
Net Business Purchase And Sale,0.0,-1000617000.0,838732000.0,-185898000.0,
Sale Of Business,,0.0,838732000.0,0.0,
Purchase Of Business,0.0,-1000617000.0,0.0,-185898000.0,
Net PPE Purchase And Sale,-1834245000.0,-1665079000.0,-1538237000.0,-944302000.0,
Sale Of PPE,,,1019000.0,2696000.0,936000.0
Purchase Of PPE,-1834245000.0,-1665079000.0,-1538237000.0,-946998000.0,
Operating Cash Flow,3960892000.0,2601562000.0,2096636000.0,1345308000.0,
Cash Flow From Continuing Operating Activities,3960892000.0,2601562000.0,2096636000.0,1345308000.0,
Change In Working Capital,80024000.0,-146396000.0,-19232000.0,-281204000.0,
Change In Other Working Capital,259327000.0,103850000.0,-35010000.0,-62424000.0,
Change In Other Current Assets,1166000.0,-80931000.0,-10756000.0,-31354000.0,
Change In Payables And Accrued Expense,27831000.0,-147000.0,60660000.0,-658000.0,
Change In Accrued Expense,-8895000.0,-2925000.0,1200000.0,-583000.0,
Change In Interest Payable,-8895000.0,-2925000.0,1200000.0,-583000.0,
Change In Payable,36726000.0,2778000.0,59460000.0,-75000.0,
Change In Account Payable,36726000.0,2778000.0,59460000.0,-75000.0,
Change In Inventory,-208300000.0,-169168000.0,-46236000.0,-185090000.0,
Change In Receivables,,7458000.0,12110000.0,-1678000.0,-3547000.0
Changes In Account Receivables,,7458000.0,12110000.0,-1678000.0,-3547000.0
Other Non Cash Items,48566000.0,-1493680000.0,25965000.0,12868000.0,
Stock Based Compensation,77404000.0,71553000.0,48570000.0,57799000.0,
Asset Impairment Charge,0.0,787000000.0,55000000.0,0.0,
Deferred Tax,213845000.0,52041000.0,168098000.0,188966000.0,
Deferred Income Tax,213845000.0,52041000.0,168098000.0,188966000.0,
Depreciation Amortization Depletion,1514076000.0,1491771000.0,1094691000.0,738129000.0,
Depreciation And Amortization,1514076000.0,1491771000.0,1094691000.0,738129000.0,
Depreciation,1514076000.0,1491771000.0,1094691000.0,738129000.0,
Operating Gains Losses,131396000.0,-102034000.0,53295000.0,66805000.0,
Gain Loss On Investment Securities,122013000.0,-101706000.0,69376000.0,61133000.0,
Net Foreign Currency Exchange Gain Loss,9383000.0,-328000.0,-16081000.0,5672000.0,
Net Income From Continuing Operations,1895581000.0,1941307000.0,670249000.0,561945000.0,
