,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Free Cash Flow,1300437000.0,590297000.0,564686000.0,616234000.0,554063000.0,,
Repurchase Of Capital Stock,-99938000.0,-60050000.0,-63236000.0,-30080000.0,-50000000.0,,
Repayment Of Debt,-559172000.0,-9178000.0,-334177000.0,-387461000.0,-12666000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,0.0,,
Issuance Of Capital Stock,10913000.0,9803000.0,8924000.0,9387000.0,9253000.0,,
Capital Expenditure,-545051000.0,-453949000.0,-567163000.0,-468298000.0,-407273000.0,,
Interest Paid Supplemental Data,37233000.0,1185000.0,26919000.0,26870000.0,24651000.0,,
Income Tax Paid Supplemental Data,79703000.0,536602000.0,96473000.0,119178000.0,127600000.0,,
End Cash Position,1557565000.0,1138312000.0,926431000.0,977215000.0,921989000.0,,
Beginning Cash Position,1138312000.0,926431000.0,977215000.0,921989000.0,524625000.0,,
Effect Of Exchange Rate Changes,3856000.0,541000.0,-8558000.0,2172000.0,-2162000.0,,
Changes In Cash,415397000.0,211340000.0,-42226000.0,53054000.0,399526000.0,,
Financing Cash Flow,-819155000.0,-182966000.0,-542518000.0,-493545000.0,-137234000.0,,
Cash Flow From Continuing Financing Activities,-819155000.0,-182966000.0,-542518000.0,-493545000.0,-137234000.0,,
Net Other Financing Charges,,,0.0,,,-3544000.0,
Proceeds From Stock Option Exercised,9820000.0,52026000.0,19797000.0,90923000.0,80434000.0,,
Cash Dividends Paid,-180778000.0,-175567000.0,-173826000.0,-176314000.0,-164255000.0,,
Common Stock Dividend Paid,-180778000.0,-175567000.0,-173826000.0,-176314000.0,-164255000.0,,
Net Common Stock Issuance,-89025000.0,-50247000.0,-54312000.0,-20693000.0,-40747000.0,,
Common Stock Payments,-99938000.0,-60050000.0,-63236000.0,-30080000.0,-50000000.0,,
Common Stock Issuance,10913000.0,9803000.0,8924000.0,9387000.0,9253000.0,,
Net Issuance Payments Of Debt,-559172000.0,-9178000.0,-334177000.0,-387461000.0,-12666000.0,,
Net Long Term Debt Issuance,-559172000.0,-9178000.0,-334177000.0,-387461000.0,-12666000.0,,
Long Term Debt Payments,-559172000.0,-9178000.0,-334177000.0,-387461000.0,-12666000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,0.0,,
Investing Cash Flow,-610936000.0,-649940000.0,-631557000.0,-537933000.0,-424576000.0,,
Cash Flow From Continuing Investing Activities,-610936000.0,-649940000.0,-631557000.0,-537933000.0,-424576000.0,,
Net Other Investing Changes,4419000.0,-5974000.0,3983000.0,3706000.0,-7000.0,,
Net Investment Purchase And Sale,-70304000.0,-68057000.0,-68377000.0,-73341000.0,-17296000.0,,
Purchase Of Investment,-70304000.0,-68057000.0,-68377000.0,-73341000.0,-17296000.0,,
Net Business Purchase And Sale,0.0,-121960000.0,0.0,0.0,0.0,,
Sale Of Business,,,,,,,0.0
Purchase Of Business,0.0,-121960000.0,0.0,0.0,0.0,,
Net PPE Purchase And Sale,-545051000.0,-453949000.0,-567163000.0,-468298000.0,-407273000.0,,
Purchase Of PPE,-545051000.0,-453949000.0,-567163000.0,-468298000.0,-407273000.0,,
Operating Cash Flow,1845488000.0,1044246000.0,1131849000.0,1084532000.0,961336000.0,,
Cash Flow From Continuing Operating Activities,1845488000.0,1044246000.0,1131849000.0,1084532000.0,961336000.0,,
Change In Working Capital,513402000.0,-165144000.0,41767000.0,57062000.0,-24912000.0,,
Change In Other Working Capital,478106000.0,-176739000.0,116595000.0,95930000.0,46426000.0,,
Change In Other Current Assets,-38152000.0,31390000.0,17403000.0,41263000.0,-84118000.0,,
Change In Payables And Accrued Expense,126509000.0,-50712000.0,-49658000.0,76740000.0,49808000.0,,
Change In Accrued Expense,-12573000.0,11780000.0,-11762000.0,-3964000.0,1900000.0,,
Change In Interest Payable,-12573000.0,11780000.0,-11762000.0,-3964000.0,1900000.0,,
Change In Payable,139082000.0,-62492000.0,-37896000.0,80704000.0,47908000.0,,
Change In Account Payable,139082000.0,-62492000.0,-37896000.0,80704000.0,47908000.0,,
Change In Inventory,-53061000.0,30917000.0,-42573000.0,-156871000.0,-37028000.0,,
Change In Receivables,,,,,,1208000.0,-579000.0
Changes In Account Receivables,,,,,,1208000.0,-579000.0
Other Non Cash Items,11308000.0,17323000.0,15422000.0,11010000.0,22324000.0,,
Stock Based Compensation,21389000.0,27393000.0,18447000.0,21242000.0,18858000.0,,
Deferred Tax,-8766000.0,18491000.0,61057000.0,58641000.0,81223000.0,,
Deferred Income Tax,-8766000.0,18491000.0,61057000.0,58641000.0,81223000.0,,
Depreciation Amortization Depletion,376956000.0,416800000.0,388217000.0,390245000.0,378389000.0,,
Depreciation And Amortization,376956000.0,416800000.0,388217000.0,390245000.0,378389000.0,,
Depreciation,376956000.0,416800000.0,388217000.0,390245000.0,378389000.0,,
Operating Gains Losses,-137512000.0,-85348000.0,97684000.0,-20786000.0,13438000.0,,
Gain Loss On Investment Securities,-125941000.0,-85288000.0,87553000.0,-24222000.0,13075000.0,,
Net Foreign Currency Exchange Gain Loss,-11571000.0,-60000.0,10131000.0,3436000.0,363000.0,,
Net Income From Continuing Operations,1068711000.0,814731000.0,509255000.0,567118000.0,472016000.0,,
