,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-66541688.0,137513424.0,-97625325.0,-16923756.0,
Tax Rate For Calcs,0.328,0.177,0.399,0.398,
Normalized EBITDA,4624979000.0,3165144000.0,2516162000.0,1789538000.0,
Total Unusual Items,-202871000.0,776912000.0,-244675000.0,-42522000.0,
Total Unusual Items Excluding Goodwill,-202871000.0,776912000.0,-244675000.0,-42522000.0,
Net Income From Continuing Operation Net Minority Interest,1895581000.0,1941307000.0,670249000.0,561945000.0,
Reconciled Depreciation,1514076000.0,1491771000.0,1094691000.0,738129000.0,
Reconciled Cost Of Revenue,4600156000.0,4425034000.0,3738012000.0,2511250000.0,
EBITDA,4422108000.0,3942056000.0,2271487000.0,1747016000.0,
EBIT,2908032000.0,2450285000.0,1176796000.0,1008887000.0,
Net Interest Income,-74749000.0,-89222000.0,-57164000.0,-81551000.0,
Interest Expense,86477000.0,91216000.0,61373000.0,76164000.0,
Interest Income,21740000.0,11658000.0,11110000.0,3937000.0,
Normalized Income,2031910312.0,1301908424.0,817298675.0,587543244.0,
Net Income From Continuing And Discontinued Operation,1895581000.0,1941307000.0,670249000.0,561945000.0,
Total Expenses,5136324000.0,4932276000.0,4298253000.0,2812897000.0,
Diluted Average Shares,500861000.0,489913000.0,438533000.0,244732000.0,
Basic Average Shares,499904000.0,488723000.0,437678000.0,243708000.0,
Diluted EPS,3.78,3.95,1.53,2.22,
Basic EPS,3.79,3.97,1.53,2.23,
Diluted NI Availto Com Stockholders,1895581000.0,1936571000.0,670249000.0,561945000.0,
Average Dilution Earnings,0.0,-4736000.0,0.0,,
Net Income Common Stockholders,1895581000.0,1941307000.0,670249000.0,561945000.0,
Net Income,1895581000.0,1941307000.0,670249000.0,561945000.0,
Net Income Including Noncontrolling Interests,1895581000.0,1941307000.0,670249000.0,561945000.0,
Net Income Continuous Operations,1895581000.0,1941307000.0,670249000.0,561945000.0,
Tax Provision,925974000.0,417762000.0,445174000.0,370778000.0,
Pretax Income,2821555000.0,2359069000.0,1115423000.0,932723000.0,
Other Income Expense,-253125000.0,753658000.0,-270322000.0,-42454000.0,
Other Non Operating Income Expenses,-50254000.0,-23254000.0,-25647000.0,68000.0,
Special Income Charges,-37669000.0,708152000.0,-170064000.0,-25747000.0,
Gain On Sale Of Ppe,-37669000.0,-26759000.0,-8754000.0,549000.0,
Other Special Charges,,,11275000.0,13353000.0,33540000.0
Impairment Of Capital Assets,0.0,787000000.0,55000000.0,0.0,
Restructuring And Mergern Acquisition,0.0,-1521911000.0,95035000.0,12943000.0,
Gain On Sale Of Security,-165202000.0,68760000.0,-74611000.0,-16775000.0,
Net Non Operating Interest Income Expense,-74749000.0,-89222000.0,-57164000.0,-81551000.0,
Total Other Finance Cost,10012000.0,9664000.0,6901000.0,9324000.0,
Interest Expense Non Operating,86477000.0,91216000.0,61373000.0,76164000.0,
Interest Income Non Operating,21740000.0,11658000.0,11110000.0,3937000.0,
Operating Income,3149429000.0,1694633000.0,1442909000.0,1056728000.0,
Operating Expense,536168000.0,507242000.0,560241000.0,301647000.0,
Other Operating Expenses,268144000.0,251399000.0,297485000.0,159644000.0,
Selling General And Administration,207450000.0,208451000.0,220861000.0,142003000.0,
General And Administrative Expense,207450000.0,208451000.0,220861000.0,142003000.0,
Other Gand A,207450000.0,208451000.0,220861000.0,142003000.0,
Gross Profit,3685597000.0,2201875000.0,2003150000.0,1358375000.0,
Cost Of Revenue,4600156000.0,4425034000.0,3738012000.0,2511250000.0,
Total Revenue,8285753000.0,6626909000.0,5741162000.0,3869625000.0,
Operating Revenue,8285815000.0,6628073000.0,5742768000.0,3867430000.0,
