,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,790930474.0,687005978.0,682276959.0,681146344.0,
Share Issued,790930474.0,687005978.0,682276959.0,681146344.0,
Net Debt,291800000.0,210500000.0,194100000.0,9500000.0,
Total Debt,399700000.0,401200000.0,396200000.0,501700000.0,
Tangible Book Value,1052300000.0,789200000.0,959500000.0,955900000.0,
Invested Capital,1449300000.0,1185200000.0,1354400000.0,1446900000.0,
Working Capital,77500000.0,122800000.0,206300000.0,513400000.0,
Net Tangible Assets,1052300000.0,789200000.0,959500000.0,955900000.0,
Capital Lease Obligations,2700000.0,5200000.0,1300000.0,10700000.0,
Common Stock Equity,1052300000.0,789200000.0,959500000.0,955900000.0,
Total Capitalization,1449300000.0,1185200000.0,1354400000.0,1446900000.0,
Total Equity Gross Minority Interest,1052300000.0,789200000.0,959500000.0,955900000.0,
Stockholders Equity,1052300000.0,789200000.0,959500000.0,955900000.0,
Gains Losses Not Affecting Retained Earnings,-31200000.0,-135900000.0,-24600000.0,-93000000.0,
Other Equity Adjustments,-31200000.0,-135900000.0,-24600000.0,-93000000.0,
Retained Earnings,-2357200000.0,-2345300000.0,-2280800000.0,-2214000000.0,
Additional Paid In Capital,106200000.0,106900000.0,107800000.0,107500000.0,
Capital Stock,3334500000.0,3163500000.0,3157100000.0,3155400000.0,
Common Stock,3334500000.0,3163500000.0,3157100000.0,3155400000.0,
Total Liabilities Net Minority Interest,951500000.0,1496800000.0,1284000000.0,1520900000.0,
Total Non Current Liabilities Net Minority Interest,754900000.0,1267800000.0,1112800000.0,1348000000.0,
Other Non Current Liabilities,7900000.0,3400000.0,4800000.0,3700000.0,
Derivative Product Liabilities,174600000.0,667600000.0,525500000.0,618400000.0,
Non Current Deferred Liabilities,55600000.0,74800000.0,66800000.0,69600000.0,
Non Current Deferred Taxes Liabilities,55600000.0,74800000.0,66800000.0,69600000.0,
Long Term Debt And Capital Lease Obligation,399000000.0,398600000.0,396200000.0,501700000.0,
Long Term Capital Lease Obligation,2000000.0,2600000.0,1300000.0,10700000.0,
Long Term Debt,397000000.0,396000000.0,394900000.0,491000000.0,
Long Term Provisions,117800000.0,123400000.0,119500000.0,154600000.0,
Current Liabilities,196600000.0,229000000.0,171200000.0,172900000.0,
Other Current Liabilities,67900000.0,76900000.0,28100000.0,43000000.0,
Current Debt And Capital Lease Obligation,700000.0,2600000.0,,,
Current Capital Lease Obligation,700000.0,2600000.0,,,
Current Provisions,1600000.0,800000.0,1700000.0,5600000.0,
Payables And Accrued Expenses,126400000.0,148700000.0,141400000.0,124300000.0,
Current Accrued Expenses,89000000.0,87200000.0,79300000.0,72300000.0,
Interest Payable,14100000.0,14100000.0,14100000.0,14900000.0,
Payables,37400000.0,61500000.0,62100000.0,52000000.0,
Total Tax Payable,500000.0,0.0,300000.0,0.0,
Income Tax Payable,500000.0,0.0,300000.0,0.0,
Accounts Payable,36900000.0,61500000.0,61800000.0,52000000.0,
Total Assets,2003800000.0,2286000000.0,2243500000.0,2476800000.0,
Total Non Current Assets,1729700000.0,1934200000.0,1866000000.0,1790500000.0,
Other Non Current Assets,33900000.0,2100000.0,2100000.0,2600000.0,
Non Current Deferred Assets,8700000.0,4900000.0,0.0,,
Non Current Deferred Taxes Assets,8700000.0,4900000.0,0.0,,
Net PPE,1687100000.0,1927200000.0,1863900000.0,1787900000.0,
Accumulated Depreciation,-2009800000.0,-2137600000.0,-1899700000.0,-1699400000.0,
Gross PPE,3696900000.0,4064800000.0,3763600000.0,3487300000.0,
Construction In Progress,182100000.0,112500000.0,89100000.0,118100000.0,
Machinery Furniture Equipment,1186200000.0,1583900000.0,1530300000.0,1362300000.0,
Current Assets,274100000.0,351800000.0,377500000.0,686300000.0,
Other Current Assets,18900000.0,15700000.0,11300000.0,14800000.0,
Hedging Assets Current,1200000.0,-300000.0,-1800000.0,-600000.0,
Prepaid Assets,,,,14800000.0,12700000.0
Inventory,118700000.0,126700000.0,115700000.0,101000000.0,
Finished Goods,14400000.0,16800000.0,17500000.0,14300000.0,
Work In Process,17100000.0,5300000.0,12000000.0,10000000.0,
Raw Materials,87200000.0,104600000.0,86200000.0,76700000.0,
Receivables,25000000.0,17100000.0,15900000.0,30100000.0,
Other Receivables,200000.0,600000.0,500000.0,13800000.0,
Taxes Receivable,3200000.0,6300000.0,11000000.0,11000000.0,
Accounts Receivable,21600000.0,10200000.0,4400000.0,5300000.0,
Cash Cash Equivalents And Short Term Investments,110300000.0,192600000.0,236400000.0,541000000.0,
Other Short Term Investments,5100000.0,7100000.0,35600000.0,59500000.0,
Cash And Cash Equivalents,105200000.0,185500000.0,200800000.0,481500000.0,
Cash Equivalents,,,33100000.0,144000000.0,
Cash Financial,,,167700000.0,337500000.0,
