,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,121700000.0,21700000.0,-102200000.0,76400000.0,
Repayment Of Debt,-2600000.0,-9300000.0,-111900000.0,-10400000.0,
Issuance Of Debt,,,,,296600000.0
Issuance Of Capital Stock,164600000.0,0.0,900000.0,200000.0,
Capital Expenditure,-271100000.0,-265900000.0,-292900000.0,-247300000.0,
End Cash Position,105200000.0,185500000.0,200800000.0,481500000.0,
Beginning Cash Position,185500000.0,200800000.0,481500000.0,186300000.0,
Effect Of Exchange Rate Changes,-1900000.0,-300000.0,-4500000.0,600000.0,
Changes In Cash,-78400000.0,-15000000.0,-276200000.0,294600000.0,
Financing Cash Flow,-207800000.0,-68600000.0,-185000000.0,-86500000.0,
Cash Flow From Continuing Financing Activities,-207800000.0,-68600000.0,-185000000.0,-86500000.0,
Net Other Financing Charges,-334300000.0,-28900000.0,-36400000.0,-33700000.0,
Interest Paid Cff,-37700000.0,-35500000.0,-37600000.0,-42600000.0,
Proceeds From Stock Option Exercised,2200000.0,5100000.0,,,
Cash Dividends Paid,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,164600000.0,0.0,900000.0,200000.0,
Common Stock Issuance,164600000.0,0.0,900000.0,200000.0,
Net Issuance Payments Of Debt,-2600000.0,-9300000.0,-111900000.0,-10400000.0,
Net Short Term Debt Issuance,,,,0.0,-30000000.0
Short Term Debt Payments,,,,0.0,-30000000.0
Net Long Term Debt Issuance,-2600000.0,-9300000.0,-111900000.0,-10400000.0,
Long Term Debt Payments,-2600000.0,-9300000.0,-111900000.0,-10400000.0,
Long Term Debt Issuance,,,,,296600000.0
Investing Cash Flow,-263400000.0,-234000000.0,-281900000.0,57400000.0,
Cash Flow From Continuing Investing Activities,-263400000.0,-234000000.0,-281900000.0,57400000.0,
Net Other Investing Changes,,,13700000.0,1400000.0,100000.0
Interest Received Cfi,6800000.0,7500000.0,3900000.0,300000.0,
Net Investment Purchase And Sale,,24400000.0,-4000000.0,-36400000.0,-2100000.0
Sale Of Investment,,25300000.0,0.0,,102800000.0
Purchase Of Investment,,-900000.0,-4000000.0,-36400000.0,-2100000.0
Net Business Purchase And Sale,900000.0,24400000.0,0.0,39400000.0,
Sale Of Business,900000.0,24400000.0,0.0,39400000.0,
Net PPE Purchase And Sale,-271100000.0,-265900000.0,-295500000.0,52700000.0,
Sale Of PPE,,0.0,-2600000.0,300000000.0,0.0
Purchase Of PPE,-271100000.0,-265900000.0,-292900000.0,-247300000.0,
Operating Cash Flow,392800000.0,287600000.0,190700000.0,323700000.0,
Cash Flow From Continuing Operating Activities,392700000.0,287600000.0,190700000.0,323700000.0,
Taxes Refund Paid,-1500000.0,-2800000.0,-700000.0,-3400000.0,
Change In Working Capital,-16000000.0,-5800000.0,9100000.0,1000000.0,
Change In Payables And Accrued Expense,-1700000.0,6600000.0,25100000.0,-3900000.0,
Change In Payable,-1700000.0,6600000.0,25100000.0,-3900000.0,
Change In Prepaid Assets,-8300000.0,-1800000.0,3500000.0,200000.0,
Change In Inventory,2800000.0,-6500000.0,-16000000.0,-4800000.0,
Change In Receivables,-8800000.0,-4100000.0,-3500000.0,9500000.0,
Other Non Cash Items,-33700000.0,4100000.0,19500000.0,27600000.0,
Stock Based Compensation,600000.0,800000.0,1000000.0,1500000.0,
Unrealized Gain Loss On Investment Securities,900000.0,4400000.0,28000000.0,21300000.0,
Provisionand Write Offof Assets,,700000.0,4000000.0,0.0,
Asset Impairment Charge,,,,,0.0
Deferred Tax,-19400000.0,5300000.0,1400000.0,19700000.0,
Deferred Income Tax,-19400000.0,5300000.0,1400000.0,19700000.0,
Depreciation Amortization Depletion,248100000.0,235100000.0,195900000.0,196800000.0,
Operating Gains Losses,111200000.0,111000000.0,-700000.0,-81400000.0,
Gain Loss On Investment Securities,138000000.0,106700000.0,-2200000.0,64800000.0,
Net Foreign Currency Exchange Gain Loss,-11300000.0,3300000.0,-4800000.0,-900000.0,
Gain Loss On Sale Of PPE,,,0.0,-147300000.0,0.0
Gain Loss On Sale Of Business,,,,0.0,17400000.0
Net Income From Continuing Operations,102600000.0,-64500000.0,-66800000.0,140600000.0,
