,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Ordinary Shares Number,791702000.0,791369000.0,790930474.0,790901000.0,790536000.0,,
Share Issued,791702000.0,791369000.0,790930474.0,790901000.0,790536000.0,,
Net Debt,428500000.0,291300000.0,291800000.0,314100000.0,312100000.0,,
Total Debt,658800000.0,509300000.0,399700000.0,449900000.0,499700000.0,,
Tangible Book Value,1101600000.0,1033300000.0,1052300000.0,997200000.0,952800000.0,,
Invested Capital,1755900000.0,1537400000.0,1449300000.0,1443900000.0,1449300000.0,,
Working Capital,-49300000.0,143800000.0,77500000.0,82600000.0,109800000.0,,
Net Tangible Assets,1101600000.0,1033300000.0,1052300000.0,997200000.0,952800000.0,,
Capital Lease Obligations,4500000.0,5200000.0,2700000.0,3200000.0,3200000.0,,
Common Stock Equity,1101600000.0,1033300000.0,1052300000.0,997200000.0,952800000.0,,
Total Capitalization,1645400000.0,1537400000.0,1449300000.0,1443900000.0,1449300000.0,,
Total Equity Gross Minority Interest,1101600000.0,1033300000.0,1052300000.0,997200000.0,952800000.0,,
Stockholders Equity,1101600000.0,1033300000.0,1052300000.0,997200000.0,952800000.0,,
Gains Losses Not Affecting Retained Earnings,-34900000.0,-34100000.0,-31200000.0,-31200000.0,-36900000.0,,
Other Equity Adjustments,-34900000.0,-34100000.0,-31200000.0,-31200000.0,-36900000.0,,
Retained Earnings,-2305300000.0,-2373900000.0,-2357200000.0,-2412300000.0,-2450200000.0,,
Additional Paid In Capital,104900000.0,105600000.0,106200000.0,106200000.0,106400000.0,,
Capital Stock,3336900000.0,3335700000.0,3334500000.0,3334500000.0,3333500000.0,,
Common Stock,3336900000.0,3335700000.0,3334500000.0,3334500000.0,3333500000.0,,
Total Liabilities Net Minority Interest,1360000000.0,1085100000.0,951500000.0,985800000.0,1056200000.0,,
Total Non Current Liabilities Net Minority Interest,916900000.0,875100000.0,754900000.0,788900000.0,834900000.0,,
Other Non Current Liabilities,10400000.0,6400000.0,7900000.0,8500000.0,3800000.0,,
Derivative Product Liabilities,180400000.0,183000000.0,174600000.0,169800000.0,168600000.0,,
Non Current Deferred Liabilities,61100000.0,60000000.0,55600000.0,44100000.0,46400000.0,,
Non Current Deferred Taxes Liabilities,61100000.0,60000000.0,55600000.0,44100000.0,46400000.0,,
Long Term Debt And Capital Lease Obligation,545600000.0,505900000.0,399000000.0,448900000.0,498600000.0,,
Long Term Capital Lease Obligation,1800000.0,1800000.0,2000000.0,2200000.0,2100000.0,,
Long Term Debt,543800000.0,504100000.0,397000000.0,446700000.0,496500000.0,,
Long Term Provisions,119400000.0,119800000.0,117800000.0,117600000.0,117500000.0,,
Current Liabilities,443100000.0,210000000.0,196600000.0,196900000.0,221300000.0,,
Other Current Liabilities,64500000.0,79400000.0,67900000.0,70000000.0,104400000.0,,
Current Deferred Liabilities,112400000.0,,,,,,
Current Debt And Capital Lease Obligation,113200000.0,3400000.0,700000.0,1000000.0,1100000.0,,
Current Capital Lease Obligation,2700000.0,3400000.0,700000.0,1000000.0,1100000.0,,
Current Debt,110500000.0,,,,,,
Other Current Borrowings,110500000.0,,,,,,
Current Provisions,6900000.0,4100000.0,1600000.0,3900000.0,800000.0,,
Payables And Accrued Expenses,146100000.0,123100000.0,126400000.0,122000000.0,115000000.0,,
Current Accrued Expenses,103800000.0,86900000.0,89000000.0,86200000.0,78100000.0,,
Interest Payable,14500000.0,11700000.0,14100000.0,6600000.0,14100000.0,,
Payables,42300000.0,36200000.0,37400000.0,35800000.0,36900000.0,,
Total Tax Payable,1900000.0,1000000.0,500000.0,700000.0,,,0.0
Income Tax Payable,1900000.0,1000000.0,500000.0,700000.0,,,0.0
Accounts Payable,40400000.0,35200000.0,36900000.0,35100000.0,36900000.0,,
