,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Free Cash Flow,-209200000.0,32300000.0,34300000.0,65400000.0,28200000.0,,
Repayment Of Debt,-1100000.0,-292500000.0,-700000.0,-100000.0,-500000.0,,
Issuance Of Debt,150000000.0,393700000.0,,,100000000.0,0.0,
Issuance Of Capital Stock,0.0,,0.0,0.0,164600000.0,,3500000.0
Capital Expenditure,-372100000.0,-75200000.0,-75300000.0,-62500000.0,-72200000.0,,
End Cash Position,225800000.0,212800000.0,105200000.0,132600000.0,184400000.0,,
Beginning Cash Position,212800000.0,105200000.0,132600000.0,184400000.0,156700000.0,,
Effect Of Exchange Rate Changes,1200000.0,-100000.0,-1400000.0,100000.0,-200000.0,,
Changes In Cash,11800000.0,107700000.0,-26000000.0,-51900000.0,27900000.0,,
Financing Cash Flow,219700000.0,74300000.0,-62200000.0,-119000000.0,-2300000.0,,
Cash Flow From Continuing Financing Activities,219700000.0,74300000.0,-62200000.0,-119000000.0,-2300000.0,,
Net Other Financing Charges,72900000.0,-8200000.0,-11300000.0,-50800000.0,-265000000.0,,
Interest Paid Cff,-2800000.0,-18800000.0,-1500000.0,-18800000.0,-1600000.0,,
Proceeds From Stock Option Exercised,700000.0,100000.0,1300000.0,700000.0,200000.0,,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,,
Net Common Stock Issuance,0.0,,0.0,0.0,164600000.0,,3500000.0
Common Stock Issuance,0.0,,0.0,0.0,164600000.0,,3500000.0
Net Issuance Payments Of Debt,148900000.0,101200000.0,-50700000.0,-50100000.0,99500000.0,,
Net Long Term Debt Issuance,148900000.0,101200000.0,-50700000.0,-50100000.0,99500000.0,,
Long Term Debt Payments,-1100000.0,-292500000.0,-700000.0,-100000.0,-500000.0,,
Long Term Debt Issuance,150000000.0,393700000.0,,,100000000.0,0.0,
Investing Cash Flow,-370800000.0,-74100000.0,-73400000.0,-60800000.0,-70200000.0,,
Cash Flow From Continuing Investing Activities,-370800000.0,-74100000.0,-73400000.0,-60800000.0,-70200000.0,,
Net Other Investing Changes,,,,,200000.0,,
Interest Received Cfi,1300000.0,1100000.0,1200000.0,1700000.0,1800000.0,,
Net Investment Purchase And Sale,,,,0.0,0.0,0.0,-100000.0
Sale Of Investment,,,,0.0,0.0,0.0,-100000.0
Purchase Of Investment,,,,,,,0.0
Net PPE Purchase And Sale,-372100000.0,-75200000.0,-75300000.0,-62500000.0,-72200000.0,,
Purchase Of PPE,-372100000.0,-75200000.0,-75300000.0,-62500000.0,-72200000.0,,
Operating Cash Flow,162900000.0,107500000.0,109600000.0,127900000.0,100400000.0,,
Cash Flow From Continuing Operating Activities,162800000.0,107500000.0,109600000.0,127900000.0,100400000.0,,
Taxes Refund Paid,-600000.0,-400000.0,-800000.0,800000.0,-400000.0,,
Change In Working Capital,2000000.0,17500000.0,-16100000.0,7900000.0,10000000.0,,
Change In Payables And Accrued Expense,19200000.0,-8600000.0,4700000.0,11400000.0,1400000.0,,
Change In Payable,19200000.0,-8600000.0,4700000.0,11400000.0,1400000.0,,
Change In Prepaid Assets,2700000.0,8700000.0,-12600000.0,300000.0,3400000.0,,
Change In Inventory,-6000000.0,3500000.0,800000.0,-3000000.0,7600000.0,,
Change In Receivables,-13900000.0,13900000.0,-9000000.0,-800000.0,-2400000.0,,
Other Non Cash Items,14500000.0,23400000.0,6800000.0,1800000.0,-43200000.0,,
Stock Based Compensation,-700000.0,500000.0,200000.0,200000.0,100000.0,,
Unrealized Gain Loss On Investment Securities,-200000.0,-1600000.0,1700000.0,100000.0,-400000.0,,
Asset Impairment Charge,-7000000.0,800000.0,,-4200000.0,400000.0,-6600000.0,
Deferred Tax,3400000.0,2800000.0,9500000.0,-1800000.0,-30100000.0,,
Deferred Income Tax,3400000.0,2800000.0,9500000.0,-1800000.0,-30100000.0,,
Depreciation Amortization Depletion,66000000.0,57500000.0,56700000.0,58600000.0,70000000.0,,
Operating Gains Losses,16900000.0,23700000.0,-13900000.0,26600000.0,40900000.0,,
Gain Loss On Investment Securities,10000000.0,23100000.0,11800000.0,24300000.0,41500000.0,,
Net Foreign Currency Exchange Gain Loss,6900000.0,600000.0,-8900000.0,2200000.0,-600000.0,,
Net Income From Continuing Operations,68600000.0,-16700000.0,55100000.0,37900000.0,53100000.0,,
